c = 0x00bf, r = 0x5e50
c = 0x00c0, r = 0x6150
c = 0x00c1, r = 0xe1f0
c = 0x00c2, r = 0xe1d1
c = 0x00c3, r = 0x6171
c = 0x00c4, r = 0x6353
c = 0x00c5, r = 0xe3f3
c = 0x00c6, r = 0xe3d2
c = 0x00c7, r = 0x6372
c = 0x00c8, r = 0x6456
c = 0x00c9, r = 0xe4f6
c = 0x00ca, r = 0xe4d7
c = 0x00cb, r = 0x6477
c = 0x00cc, r = 0x6655
c = 0x00cd, r = 0xe6f5
c = 0x00ce, r = 0xe6d4
c = 0x00cf, r = 0x6674
c = 0x00d0, r = 0x695c
c = 0x00d1, r = 0xe9fc
c = 0x00d2, r = 0xe9dd
c = 0x00d3, r = 0x697d
c = 0x00d4, r = 0x6b5f
c = 0x00d5, r = 0xebff
c = 0x00d6, r = 0xebde
c = 0x00d7, r = 0x6b7e
c = 0x00d8, r = 0x6c5a
c = 0x00d9, r = 0xecfa
c = 0x00da, r = 0xecdb
c = 0x00db, r = 0x6c7b
c = 0x00dc, r = 0x6e59
c = 0x00dd, r = 0xeef9
c = 0x00de, r = 0xeed8
c = 0x00df, r = 0x6e78
c = 0x00e0, r = 0x7148
c = 0x00e1, r = 0xf1e8
c = 0x00e2, r = 0xf1c9
c = 0x00e3, r = 0x7169
c = 0x00e4, r = 0x734b
c = 0x00e5, r = 0xf3eb
c = 0x00e6, r = 0xf3ca
c = 0x00e7, r = 0x736a
c = 0x00e8, r = 0x754e
c = 0x00e9, r = 0xf5ee
c = 0x00ea, r = 0xf5cf
c = 0x00eb, r = 0x756f
c = 0x00ec, r = 0x774d
c = 0x00ed, r = 0xf7ed
c = 0x00ee, r = 0xf7cc
c = 0x00ef, r = 0x776c
c = 0x00f0, r = 0x7944
c = 0x00f1, r = 0xf9e4
c = 0x00f2, r = 0xf9c5
c = 0x00f3, r = 0x7965
c = 0x00f4, r = 0x7b47
c = 0x00f5, r = 0xfbe7
c = 0x00f6, r = 0xfbc6
c = 0x00f7, r = 0x7b66
c = 0x00f8, r = 0x7d42
c = 0x00f9, r = 0xfde2
c = 0x00fa, r = 0xfdc3
c = 0x00fb, r = 0x7d63
c = 0x00fc, r = 0x7f41
c = 0x00fd, r = 0xffe1
c = 0x00fe, r = 0xffc0
c = 0x00ff, r = 0x7f60
c = 0x0100, r = 0x0100
c = 0x0101, r = 0x4140
c = 0x0102, r = 0x81c0
c = 0x0103, r = 0xc180
c = 0x0104, r = 0x0181
c = 0x0105, r = 0x41c1
c = 0x0106, r = 0x8141
c = 0x0107, r = 0xc101
c = 0x0108, r = 0x0102
c = 0x0109, r = 0x4142
c = 0x010a, r = 0x81c2
c = 0x010b, r = 0xc182
c = 0x010c, r = 0x0183
c = 0x010d, r = 0x41c3
c = 0x010e, r = 0x8143
c = 0x010f, r = 0xc103
c = 0x0110, r = 0x0104
c = 0x0111, r = 0x4144
c = 0x0112, r = 0x81c4
c = 0x0113, r = 0xc184
c = 0x0114, r = 0x0185
c = 0x0115, r = 0x41c5
c = 0x0116, r = 0x8145
c = 0x0117, r = 0xc105
c = 0x0118, r = 0x0106
c = 0x0119, r = 0x4146
c = 0x011a, r = 0x81c6
c = 0x011b, r = 0xc186
c = 0x011c, r = 0x0187
c = 0x011d, r = 0x41c7
c = 0x011e, r = 0x8147
c = 0x011f, r = 0xc107
